roi_label,roi_name,x,y,z
269,7Networks_LH_SalVentAttn_PFCl_2,-25.5873,37.3175,39.2063
270,7Networks_LH_SalVentAttn_Med_1,-6.9721,27.3631,28.1453
271,7Networks_LH_SalVentAttn_Med_2,-4.9620,15.8987,31.1646
272,7Networks_LH_SalVentAttn_Med_3,-2.3853,0.8807,35.8349
273,7Networks_LH_SalVentAttn_Med_4,-7.3194,5.7083,38.9583
274,7Networks_LH_SalVentAttn_Med_5,-7.0000,-19.1481,39.2593
275,7Networks_LH_SalVentAttn_Med_6,-5.7937,17.0583,40.2780
276,7Networks_LH_SalVentAttn_Med_7,-11.0105,-31.4105,39.7263
277,7Networks_LH_SalVentAttn_Med_8,-11.5294,-20.1176,40.1412
278,7Networks_LH_SalVentAttn_Med_9,-13.6250,-40.4500,45.2000
279,7Networks_LH_SalVentAttn_Med_10,-5.8824,3.3235,49.7059
280,7Networks_LH_SalVentAttn_Med_11,-12.3951,-28.6667,43.9012
281,7Networks_LH_SalVentAttn_Med_12,-4.3896,-49.3766,51.0130
282,7Networks_LH_SalVentAttn_Med_13,-10.8974,-45.3077,52.6923
283,7Networks_LH_SalVentAttn_Med_14,-12.0563,-36.7042,50.1408
284,7Networks_LH_SalVentAttn_Med_15,-4.5366,3.0488,58.5854
285,7Networks_LH_SalVentAttn_Med_16,-8.6667,-48.1333,59.8667
286,7Networks_LH_SalVentAttn_Med_17,-3.3258,-2.0000,63.9551
287,7Networks_LH_SalVentAttn_Med_18,-12.8421,6.1053,68.3158
288,7Networks_LH_SalVentAttn_Med_19,-8.3371,-2.8090,71.2022
289,7Networks_LH_Limbic_OFC_1,-19.2621,12.8932,-21.8447
290,7Networks_LH_Limbic_OFC_2,-12.9828,20.7759,-17.1034
291,7Networks_LH_Limbic_OFC_3,-14.0714,23.7500,-23.7679
292,7Networks_LH_Limbic_OFC_4,-9.9765,34.3294,-21.9529
293,7Networks_LH_Limbic_OFC_5,-27.3043,15.3739,-23.0609
294,7Networks_LH_Limbic_OFC_6,-6.8785,19.4579,-22.0000
295,7Networks_LH_Limbic_OFC_7,-24.3453,28.1295,-17.2374
296,7Networks_LH_Limbic_OFC_8,-18.9084,40.9402,-19.0040
297,7Networks_LH_Limbic_OFC_9,-3.1100,38.0957,-22.0191
298,7Networks_LH_Limbic_OFC_10,-8.7711,50.5863,-22.7068
299,7Networks_LH_Limbic_OFC_11,-3.0375,20.0000,-17.4625
300,7Networks_LH_Limbic_OFC_12,-3.9333,16.6000,-10.0333
301,7Networks_LH_Limbic_OFC_13,-9.7207,63.0615,-15.0615
302,7Networks_LH_Limbic_OFC_14,-22.2988,61.5685,-11.0373
303,7Networks_LH_Limbic_TempPole_1,-28.6211,1.0352,-42.8530
304,7Networks_LH_Limbic_TempPole_2,-42.9153,-2.4068,-42.9407
305,7Networks_LH_Limbic_TempPole_3,-37.6547,-11.2230,-37.5683
306,7Networks_LH_Limbic_TempPole_4,-28.2308,-7.9327,-34.2404
307,7Networks_LH_Limbic_TempPole_5,-50.8545,-13.8028,-36.5352
308,7Networks_LH_Limbic_TempPole_6,-18.7119,-1.8983,-29.8983
309,7Networks_LH_Limbic_TempPole_7,-38.8861,-18.2194,-28.5316
310,7Networks_LH_Limbic_TempPole_8,-36.6941,16.8549,-34.0000
311,7Networks_LH_Limbic_TempPole_9,-26.4964,7.3525,-29.4532
312,7Networks_LH_Limbic_TempPole_10,-43.6875,-29.9531,-21.7812
313,7Networks_LH_Limbic_TempPole_11,-53.0885,-31.1593,-27.0354
314,7Networks_LH_Limbic_TempPole_12,-20.5116,-14.6047,-28.9302
315,7Networks_LH_Limbic_TempPole_13,-31.4850,-23.0659,-25.6647
316,7Networks_LH_Limbic_TempPole_14,-37.3443,8.7213,-24.7869
317,7Networks_LH_Limbic_TempPole_15,-44.5269,6.2258,-16.3548
318,7Networks_LH_Cont_Par_1,-28.7976,-77.2857,41.3452
319,7Networks_LH_Cont_Par_2,-59.2555,-41.1387,43.8394
320,7Networks_LH_Cont_Par_3,-57.1892,-46.8108,45.1351
321,7Networks_LH_Cont_Par_4,-32.0972,-69.1528,50.7083
322,7Networks_LH_Cont_Par_5,-48.6486,-55.5135,51.4414
323,7Networks_LH_Cont_Par_6,-50.7407,-47.4074,53.8025
324,7Networks_LH_Cont_Par_7,-54.7419,-39.4839,50.6774
325,7Networks_LH_Cont_Par_8,-38.1875,-60.9583,51.1667
326,7Networks_LH_Cont_Par_9,-47.5614,-41.5614,49.8596
